"Source:","/home/jakub/KiCAD/LEDregulator_v1-0/LEDregulator.sch"
"Date:","Tue 16 Jul 2019 19:06:23 BST"
"Tool:","Eeschema 5.1.2-f72e74a~84~ubuntu16.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","34"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Distributor","Manufacturer","Note","Order Code","Package","Part Number","Supplier"
"","","R16","180R","Device:R","Resistors_SMD:R_0603","~","180Ω 0603 1% SMD resistor","Farnell","Multicomp","","2447267","","MCWR06X1800FTL",""
"","","R17","47R","Device:R","Resistors_SMD:R_0603","~","47Ω 0603 1% SMD resistor","Farnell","Multicomp","","2694082","","MCWF06P47R0FTL",""
"","","SW1","DPDT Switch","Switch:SW_DPDT_x2","jakub:switchDPDT","","DPDT On-Off-On toggle switch","Farnell","Multicomp","","9473556","","1MD4T1B1M1QE",""
"","","SW2","6pos rotary","jakub:SW_Rotary1x6","jakub:Nidec_Copal_SS-10-16","http://www.farnell.com/datasheets/2604296.pdf","6-position rotary switch","Farnell","Nidec Copal","","2854809","","SS-10-16NP-LE",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Distributor","Manufacturer","Note","Order Code","Package","Part Number","Supplier"
"1","1","C1","10u/50V","Device:C","Capacitors_SMD:C_1206","~","10µF/50V 1206 ceramic capacitor","Farnell","Murata","","2672214","","GRT31CR61H106KE01L",""
"2","1","C2","47u/63V","Device:CP","Capacitors_SMD:CP_Elec_8x10.5","~","47µF/63V electrolytic capacitor D8mm x H10.2mm","Farnell","Panasonic","","2326166","","EEE1JA470UP",""
"3","2","C3, C4","100n","Device:C","Capacitors_SMD:C_0603","~","100nF/50V X7R 0603 ceramic capacitor","Farnell","Multicomp","","1759122","","MC0603B104K500CT",""
"4","1","D1","MAX6006","Reference_Voltage:LM4040DBZ-10","TO_SOT_Packages_SMD:SOT-23","","1.25V shunt reference","Farnell","Maxim Integrated","","2511278","","MAX6006BEUR+T",""
